"vtd","cntyvtd","d","r","winner"
"1075","291075","628","202","D"
"1076","291076","914","502","D"
"1077","291077","662","139","D"
"1078","291078","183","33","D"
"1079","291079","1574","889","D"
"1080","291080","1776","696","D"
"1082","291082","1445","752","D"
"1083","291083","972","614","D"
"1084","291084","615","274","D"
"1085","291085","517","210","D"
"1086","291086","855","380","D"
"1087","291087","492","192","D"
"1088","291088","320","75","D"
"1089","291089","192","159","D"
"1091","291091","728","280","D"
"1092","291092","267","68","D"
"1093","291093","193","184","D"
"1094","291094","489","223","D"
"1096","291096","13","3","D"
"1097","291097","254","92","D"
"1098","291098","325","43","D"
"1099","291099","1581","861","D"
"1100","291100","857","491","D"
"1104","291104","1029","637","D"
"1107","291107","692","521","D"
"1108","291108","1176","1061","D"
"1110","291110","1807","1149","D"
"1111","291111","1622","940","D"
"1112","291112","1860","788","D"
"1113","291113","901","551","D"
"1115","291115","61","58","D"
"1116","291116","157","111","D"
"1117","291117","113","50","D"
"1118","291118","491","467","D"
"1119","291119","40","14","D"
"1120","291120","43","4","D"
"1121","291121","2020","1817","D"
"1123","291123","134","122","D"
"1124","291124","201","112","D"
"1125","291125","36","8","D"
"1127","291127","211","51","D"
"1128","291128","175","57","D"
"1129","291129","147","75","D"
"1132","291132","2","0","D"
"1136","291136","83","47","D"
"1138","291138","5","0","D"
"2001","292001","276","45","D"
"2002","292002","461","77","D"
"2003","292003","1055","147","D"
"2004","292004","854","174","D"
"2005","292005","405","89","D"
"2006","292006","10","2","D"
"2007","292007","784","152","D"
"2008","292008","380","76","D"
"2009","292009","668","260","D"
"2010","292010","288","180","D"
"2011","292011","654","126","D"
"2012","292012","516","79","D"
"2013","292013","436","117","D"
"2014","292014","443","138","D"
"2015","292015","589","89","D"
"2016","292016","401","52","D"
"2017","292017","323","58","D"
"2018","292018","481","111","D"
"2019","292019","508","98","D"
"2020","292020","809","105","D"
"2021","292021","885","160","D"
"2022","292022","484","102","D"
"2023","292023","1099","284","D"
"2024","292024","605","210","D"
"2025","292025","908","267","D"
"2026","292026","772","367","D"
"2027","292027","513","248","D"
"2028","292028","909","378","D"
"2029","292029","401","80","D"
"2030","292030","505","86","D"
"2031","292031","537","85","D"
"2032","292032","183","44","D"
"2033","292033","250","42","D"
"2034","292034","260","52","D"
"2035","292035","652","157","D"
"2036","292036","734","313","D"
"2037","292037","468","441","D"
"2038","292038","368","252","D"
"2039","292039","546","135","D"
"2040","292040","868","320","D"
"2041","292041","994","313","D"
"2042","292042","599","152","D"
"2043","292043","566","134","D"
"2044","292044","729","174","D"
"2045","292045","952","258","D"
"2046","292046","919","311","D"
"2047","292047","691","253","D"
"2048","292048","555","147","D"
"2049","292049","992","375","D"
"2050","292050","631","274","D"
"2051","292051","222","62","D"
"2052","292052","337","83","D"
"2053","292053","436","95","D"
"2054","292054","880","201","D"
"2055","292055","836","257","D"
"2056","292056","494","180","D"
"2057","292057","742","194","D"
"2058","292058","749","249","D"
"2059","292059","747","268","D"
"2060","292060","512","184","D"
"2061","292061","357","220","D"
"2062","292062","422","220","D"
"2064","292064","780","427","D"
"2065","292065","2116","1272","D"
"2066","292066","1158","1139","D"
"2067","292067","129","30","D"
"2068","292068","1232","1077","D"
"2069","292069","869","459","D"
"2070","292070","730","85","D"
"2071","292071","250","43","D"
"2072","292072","987","718","D"
"2073","292073","400","183","D"
"2074","292074","337","74","D"
"2075","292075","127","18","D"
"2076","292076","718","599","D"
"2077","292077","734","561","D"
"2078","292078","784","445","D"
"2079","292079","207","23","D"
"2080","292080","294","140","D"
"2081","292081","277","138","D"
"2082","292082","461","214","D"
"2083","292083","307","89","D"
"2085","292085","524","177","D"
"2086","292086","1018","793","D"
"2087","292087","553","508","D"
"2088","292088","1225","783","D"
"2089","292089","165","36","D"
"2090","292090","641","258","D"
"2091","292091","966","402","D"
"2092","292092","142","94","D"
"2093","292093","305","222","D"
"2096","292096","706","361","D"
"2097","292097","776","465","D"
"2098","292098","417","226","D"
"2099","292099","452","405","D"
"2100","292100","403","205","D"
"2101","292101","1479","1435","D"
"2102","292102","833","698","D"
"2103","292103","98","10","D"
"2104","292104","103","14","D"
"2105","292105","141","100","D"
"2106","292106","172","76","D"
"2107","292107","127","77","D"
"2110","292110","404","301","D"
"2111","292111","353","170","D"
"2112","292112","558","397","D"
"2113","292113","16","15","D"
"2114","292114","733","370","D"
"2117","292117","220","51","D"
"2118","292118","14","1","D"
"2119","292119","120","30","D"
"2120","292120","41","17","D"
"2121","292121","162","102","D"
"2122","292122","494","184","D"
"2124","292124","232","154","D"
"2125","292125","1324","1107","D"
"2126","292126","446","283","D"
"2127","292127","796","626","D"
"2128","292128","698","146","D"
"2129","292129","1","0","D"
"2131","292131","129","69","D"
"2132","292132","2","0","D"
"2133","292133","111","91","D"
"2134","292134","410","177","D"
"2135","292135","218","84","D"
"2136","292136","102","37","D"
"2137","292137","396","248","D"
"2138","292138","308","183","D"
"2139","292139","556","488","D"
"2140","292140","450","226","D"
"2141","292141","435","334","D"
"2142","292142","175","85","D"
"2143","292143","683","540","D"
"2144","292144","670","380","D"
"2145","292145","110","99","D"
"2146","292146","20","7","D"
"2147","292147","105","90","D"
"2148","292148","1080","526","D"
"2149","292149","579","273","D"
"2150","292150","5","0","D"
"2151","292151","11","6","D"
"2152","292152","217","35","D"
"2153","292153","110","53","D"
"2156","292156","352","202","D"
"2159","292159","75","42","D"
"2160","292160","56","17","D"
"2161","292161","698","435","D"
"2162","292162","3","1","D"
"3002","293002","718","693","D"
"3010","293010","190","103","D"
"3013","293013","598","499","D"
"3014","293014","177","159","D"
"3015","293015","350","291","D"
"3019","293019","233","137","D"
"3020","293020","912","800","D"
"0202","2930202","221","66","D"
"0203","2930203","73","47","D"
"3023","293023","791","574","D"
"3029","293029","412","361","D"
"3031","293031","8","6","D"
"3032","293032","732","426","D"
"3035","293035","270","235","D"
"3036","293036","1092","758","D"
"3037","293037","862","790","D"
"3038","293038","408","377","D"
"3048","293048","504","493","D"
"3054","293054","592","425","D"
"3056","293056","643","450","D"
"3058","293058","1508","990","D"
"3061","293061","569","499","D"
"3063","293063","614","575","D"
"3065","293065","11","7","D"
"3066","293066","625","615","D"
"3068","293068","835","407","D"
"3071","293071","868","642","D"
"3073","293073","518","510","D"
"3095","293095","756","448","D"
"3103","293103","205","150","D"
"3107","293107","586","328","D"
"3109","293109","942","668","D"
"3112","293112","465","309","D"
"3113","293113","358","154","D"
"3116","293116","550","424","D"
"3119","293119","1130","1108","D"
"3123","293123","90","71","D"
"3127","293127","1032","854","D"
"3129","293129","1073","784","D"
"3132","293132","392","280","D"
"3134","293134","891","456","D"
"3139","293139","423","257","D"
"3140","293140","135","85","D"
"3141","293141","501","333","D"
"3142","293142","62","50","D"
"3143","293143","485","426","D"
"3146","293146","1041","779","D"
"3147","293147","804","669","D"
"3149","293149","1023","258","D"
"3152","293152","395","236","D"
"3155","293155","87","26","D"
"3159","293159","669","456","D"
"3161","293161","783","611","D"
"3162","293162","353","317","D"
"3166","293166","166","158","D"
"3168","293168","235","225","D"
"3171","293171","3","0","D"
"3172","293172","166","127","D"
"3179","293179","1","0","D"
"3187","293187","1","0","D"
"3189","293189","324","263","D"
"4001","294001","805","308","D"
"4002","294002","297","74","D"
"4003","294003","421","66","D"
"4004","294004","278","84","D"
"4005","294005","607","117","D"
"4006","294006","269","66","D"
"4008","294008","237","155","D"
"4009","294009","282","64","D"
"4010","294010","388","21","D"
"4011","294011","461","44","D"
"4012","294012","242","45","D"
"4013","294013","320","94","D"
"4014","294014","176","33","D"
"4015","294015","645","149","D"
"4016","294016","805","211","D"
"4017","294017","848","226","D"
"4018","294018","486","136","D"
"4019","294019","821","341","D"
"4020","294020","223","162","D"
"4021","294021","325","253","D"
"4022","294022","44","33","D"
"4023","294023","665","495","D"
"4024","294024","879","462","D"
"4025","294025","389","174","D"
"4026","294026","1135","383","D"
"4027","294027","568","227","D"
"4028","294028","908","267","D"
"4029","294029","782","133","D"
"4030","294030","131","4","D"
"4031","294031","583","194","D"
"4032","294032","589","272","D"
"4033","294033","1017","546","D"
"4034","294034","593","264","D"
"4035","294035","23","5","D"
"4036","294036","1124","248","D"
"4037","294037","660","79","D"
"4038","294038","1020","676","D"
"4039","294039","542","33","D"
"4040","294040","387","44","D"
"4041","294041","844","80","D"
"4042","294042","53","16","D"
"4043","294043","98","48","D"
"4044","294044","418","251","D"
"4045","294045","739","487","D"
"4047","294047","732","401","D"
"4048","294048","625","165","D"
"4049","294049","658","316","D"
"4053","294053","526","428","D"
"4054","294054","1089","931","D"
"4060","294060","572","406","D"
"4061","294061","679","311","D"
"4062","294062","230","105","D"
"4063","294063","259","142","D"
"4064","294064","649","568","D"
"4065","294065","1240","485","D"
"4066","294066","1060","577","D"
"4067","294067","406","359","D"
"4068","294068","81","61","D"
"4070","294070","1130","411","D"
"4073","294073","388","385","D"
"4075","294075","235","59","D"
"4076","294076","843","412","D"
"4077","294077","820","467","D"
"4080","294080","614","330","D"
"4082","294082","642","92","D"
"4084","294084","126","53","D"
"4087","294087","498","337","D"
"4088","294088","1263","654","D"
"4089","294089","770","749","D"
"4091","294091","334","198","D"
"4093","294093","684","648","D"
"4096","294096","665","415","D"
"4097","294097","432","419","D"
"4098","294098","469","462","D"
"4099","294099","365","254","D"
"4100","294100","271","207","D"
"4102","294102","233","114","D"
"4103","294103","4","0","D"
"4104","294104","498","484","D"
"4106","294106","156","58","D"
"4107","294107","415","376","D"
"4108","294108","886","881","D"
"4109","294109","49","23","D"
"4110","294110","439","144","D"
"4111","294111","126","18","D"
"4113","294113","325","63","D"
"4114","294114","17","9","D"
"4119","294119","202","69","D"
"4120","294120","76","27","D"
"4122","294122","35","12","D"
"4123","294123","52","17","D"
"4124","294124","674","193","D"
"4125","294125","23","10","D"
"4127","294127","4","0","D"
"4128","294128","40","21","D"
"4131","294131","130","64","D"
"4132","294132","1821","1162","D"
"4140","294140","1","0","D"
"4141","294141","116","17","D"
"4142","294142","248","35","D"
"4143","294143","1184","446","D"
"4146","294146","15","10","D"
"4147","294147","61","55","D"
"4148","294148","55","40","D"
"4149","294149","116","63","D"
"4150","294150","541","276","D"
"4152","294152","547","423","D"
"4153","294153","11","0","D"
"4154","294154","201","155","D"
"4155","294155","1024","247","D"
"4156","294156","352","129","D"
"4157","294157","664","145","D"
"4158","294158","124","91","D"
"4159","294159","6","2","D"
"4160","294160","546","229","D"
"4161","294161","214","41","D"
"4163","294163","804","353","D"
"4166","294166","100","47","D"
"4167","294167","11","8","D"
"4168","294168","764","381","D"
"4170","294170","127","94","D"
"4172","294172","349","308","D"
"4174","294174","378","289","D"
"4177","294177","14","0","D"
"4178","294178","2","0","D"
"4183","294183","42","8","D"
"4184","294184","10","2","D"
"4186","294186","36","11","D"
"4187","294187","1","0","D"
"4188","294188","2","0","D"
"4189","294189","491","257","D"
"4193","294193","17","7","D"
"4194","294194","188","178","D"
"4198","294198","559","274","D"
"4199","294199","275","219","D"
"4200","294200","780","384","D"
"4203","294203","64","10","D"
"4204","294204","29","8","D"
"4205","294205","36","29","D"
"4206","294206","146","108","D"
"4210","294210","7","4","D"
"4211","294211","22","2","D"
"4214","294214","3","0","D"
"0001","3030001","734","594","D"
"0003","3030003","762","316","D"
"0004","3030004","333","88","D"
"0005","3030005","245","106","D"
"0006","3030006","589","53","D"
"0010","3030010","252","179","D"
"0015","3030015","530","503","D"
"0017","3030017","223","152","D"
"0018","3030018","318","310","D"
"0019","3030019","542","214","D"
"0020","3030020","503","33","D"
"0025","3030025","390","323","D"
"0026","3030026","581","401","D"
"0040","3030040","336","32","D"
"0114","3030114","238","156","D"
"0131","3030131","1","0","D"
"0153","3030153","466","79","D"
"0014","3050014","71","66","D"
"0001","3090001","89","56","D"
"0002","3090002","139","43","D"
"0003","3090003","681","421","D"
"0004","3090004","42","28","D"
"0005","3090005","270","75","D"
"0006","3090006","223","65","D"
"0007","3090007","437","224","D"
"0008","3090008","322","234","D"
"0009","3090009","263","94","D"
"0010","3090010","726","86","D"
"0012","3090012","1426","80","D"
"0014","3090014","602","74","D"
"0018","3090018","151","104","D"
"0020","3090020","156","49","D"
"0021","3090021","166","106","D"
"0022","3090022","131","70","D"
"0025","3090025","453","248","D"
"0026","3090026","148","75","D"
"0027","3090027","328","84","D"
"0029","3090029","212","187","D"
"0035","3090035","296","166","D"
"0037","3090037","263","235","D"
"0038","3090038","189","139","D"
"0039","3090039","269","79","D"
"0042","3090042","341","159","D"
"0043","3090043","112","104","D"
"0045","3090045","149","120","D"
"0046","3090046","71","47","D"
"0047","3090047","123","78","D"
"0048","3090048","130","63","D"
"0050","3090050","392","266","D"
"0056","3090056","266","142","D"
"0085","3090085","225","177","D"
"0086","3090086","611","369","D"
"0087","3090087","404","308","D"
"0089","3090089","21","6","D"
"0007","3150007","236","181","D"
"001C","321001C","419","132","D"
"001A","323001A","299","58","D"
"001B","323001B","867","323","D"
"001C","323001C","1635","353","D"
"002A","323002A","314","48","D"
"002BA","323002BA","101","26","D"
"002BB","323002BB","203","51","D"
"002BC","323002BC","812","199","D"
"002C","323002C","720","139","D"
"002D","323002D","52","36","D"
"003A","323003A","1125","361","D"
"003B","323003B","1424","400","D"
"003C","323003C","169","156","D"
"004A","323004A","395","57","D"
"004B","323004B","989","384","D"
"004C","323004C","450","89","D"
"004D","323004D","842","136","D"
"003D","325003D","661","351","D"
"0304","3290304","363","200","D"
"0305","3290305","318","115","D"
"0306","3290306","633","263","D"
"0308","3290308","1138","617","D"
"0010","3390010","760","308","D"
"0402","3410402","170","40","D"
"0101","3430101","250","88","D"
"0102","3430102","138","81","D"
"0022","3470022","45","24","D"
"0023","3470023","104","58","D"
"0024","3470024","411","222","D"
"0025","3470025","24","14","D"
"0027","3470027","582","50","D"
"0030","3470030","154","139","D"
"0031","3470031","157","144","D"
"0032","3470032","944","865","D"
"0014","3510014","111","86","D"
"0017","3510017","41","16","D"
"0020","3510020","96","25","D"
"0022","3510022","109","107","D"
"0001","3550001","806","486","D"
"0002","3550002","724","718","D"
"0004","3550004","744","438","D"
"0007","3550007","229","55","D"
"0012","3550012","362","220","D"
"0013","3550013","429","78","D"
"0017","3550017","752","623","D"
"0020","3550020","911","441","D"
"0022","3550022","112","101","D"
"0024","3550024","252","67","D"
"0027","3550027","158","122","D"
"0030","3550030","80","22","D"
"0031","3550031","165","47","D"
"0033","3550033","156","70","D"
"0034","3550034","120","61","D"
"0035","3550035","319","55","D"
"0036","3550036","272","149","D"
"0037","3550037","492","171","D"
"0038","3550038","175","26","D"
"0039","3550039","148","106","D"
"0041","3550041","113","34","D"
"0043","3550043","184","56","D"
"0044","3550044","261","54","D"
"0045","3550045","150","28","D"
"0046","3550046","79","15","D"
"0047","3550047","89","19","D"
"0048","3550048","408","310","D"
"0050","3550050","145","113","D"
"0051","3550051","482","308","D"
"0052","3550052","298","72","D"
"0053","3550053","181","62","D"
"0054","3550054","534","151","D"
"0055","3550055","399","116","D"
"0056","3550056","276","93","D"
"0057","3550057","226","116","D"
"0058","3550058","353","323","D"
"0059","3550059","430","375","D"
"0060","3550060","318","56","D"
"0061","3550061","193","21","D"
"0062","3550062","259","69","D"
"0066","3550066","397","310","D"
"0068","3550068","284","143","D"
"0069","3550069","499","284","D"
"0070","3550070","679","426","D"
"0071","3550071","464","143","D"
"0072","3550072","402","248","D"
"0073","3550073","327","85","D"
"0074","3550074","497","108","D"
"0075","3550075","659","139","D"
"0076","3550076","220","45","D"
"0077","3550077","70","7","D"
"0078","3550078","538","106","D"
"0079","3550079","320","91","D"
"0080","3550080","534","102","D"
"0082","3550082","126","63","D"
"0083","3550083","289","88","D"
"0084","3550084","192","124","D"
"0085","3550085","159","23","D"
"0087","3550087","362","259","D"
"0089","3550089","152","126","D"
"0090","3550090","207","184","D"
"0093","3550093","779","327","D"
"0094","3550094","507","439","D"
"0095","3550095","230","94","D"
"0096","3550096","233","95","D"
"0097","3550097","284","72","D"
"0098","3550098","631","135","D"
"0099","3550099","174","50","D"
"0100","3550100","278","263","D"
"0104","3550104","296","53","D"
"0105","3550105","420","81","D"
"0106","3550106","642","606","D"
"0108","3550108","212","74","D"
"0109","3550109","142","139","D"
"0113","3550113","155","28","D"
"0114","3550114","146","72","D"
"0118","3550118","767","481","D"
"0121","3550121","408","333","D"
"0002","3610002","395","227","D"
"0003","3610003","496","108","D"
"0004","3610004","204","2","D"
"001A","37001A","447","78","D"
"001B","37001B","396","179","D"
"002A","37002A","439","141","D"
"002B","37002B","160","140","D"
"002C","37002C","484","91","D"
"003B","37003B","243","219","D"
"004A","37004A","218","216","D"
"004D","37004D","10","9","D"
"008A","37008A","262","170","D"
"0010","3710010","193","161","D"
"0012","3730012","61","36","D"
"0018","3730018","203","110","D"
"0223","3750223","365","341","D"
"0421","3750421","303","228","D"
"0422","3750422","828","526","D"
"0424","3750424","358","262","D"
"0425","3750425","382","325","D"
"0427","3750427","136","112","D"
"0001","3770001","92","88","D"
"0002","3770002","197","44","D"
"0003","3770003","23","5","D"
"0004","3770004","365","62","D"
"0005","3770005","245","28","D"
"0007","3770007","531","238","D"
"0003","3870003","345","336","D"
"0001","3890001","119","47","D"
"0002","3890002","211","159","D"
"0003","3890003","217","206","D"
"0006","3890006","43","29","D"
"0008","3890008","103","79","D"
"0010","3890010","218","173","D"
"0011","3890011","230","92","D"
"0007","390007","647","362","D"
"0017","390017","677","555","D"
"0019","390019","488","485","D"
"0021","390021","1122","1115","D"
"0029","390029","1231","800","D"
"0044","390044","1963","1488","D"
"0050","390050","2614","1152","D"
"0053","390053","725","230","D"
"0054","390054","1103","734","D"
"0058","390058","666","550","D"
"0059","390059","2192","951","D"
"0060","390060","1550","1533","D"
"0062","390062","1398","993","D"
"0063","390063","1596","543","D"
"0067","390067","1538","627","D"
"0068","390068","857","534","D"
"0001","3910001","123","113","D"
"0004","3910004","172","59","D"
"001A","391001A","175","136","D"
"004A","391004A","109","105","D"
"0022","3950022","591","106","D"
"0023","3950023","210","171","D"
"0011","4050011","234","7","D"
"0105","4090105","616","222","D"
"0112","4090112","497","82","D"
"0113","4090113","371","173","D"
"0118","4090118","731","329","D"
"0124","4090124","866","676","D"
"0004","410004","624","76","D"
"0008","410008","447","420","D"
"0014","410014","754","284","D"
"0016","410016","375","120","D"
"0017","410017","778","723","D"
"0018","410018","200","21","D"
"0019","410019","75","57","D"
"0020","410020","759","685","D"
"0021","410021","368","253","D"
"0022","410022","77","71","D"
"0025","410025","392","46","D"
"0030","410030","616","527","D"
"0038","410038","124","15","D"
"0043","410043","15","5","D"
"0049","410049","78","57","D"
"0053","410053","1","0","D"
"0057","410057","77","46","D"
"0074","410074","108","57","D"
"01SE","41901SE","394","317","D"
"0001","4230001","113","73","D"
"0002","4230002","254","54","D"
"0009","4230009","97","57","D"
"0010","4230010","867","819","D"
"0011","4230011","703","111","D"
"0012","4230012","733","94","D"
"0013","4230013","764","20","D"
"0016","4230016","560","81","D"
"0018","4230018","672","47","D"
"0020","4230020","148","81","D"
"0022","4230022","84","66","D"
"0034","4230034","467","140","D"
"0035","4230035","780","553","D"
"0036","4230036","1078","255","D"
"0039","4230039","144","69","D"
"0049","4230049","76","59","D"
"0060","4230060","156","125","D"
"0063","4230063","37","8","D"
"0065","4230065","46","30","D"
"0076","4230076","212","71","D"
"0081","4230081","89","47","D"
"0082","4230082","14","12","D"
"0001","4270001","993","296","D"
"0002","4270002","1292","357","D"
"0003","4270003","522","116","D"
"0004","4270004","215","164","D"
"0005","4270005","37","22","D"
"0006","4270006","2089","324","D"
"0007","4270007","286","80","D"
"0008","4270008","999","187","D"
"0009","4270009","1156","252","D"
"0010","4270010","1700","426","D"
"0002","430002","365","340","D"
"0005","430005","48","29","D"
"0007","430007","58","37","D"
"0008","430008","275","139","D"
"1005","4391005","323","12","D"
"1008","4391008","133","12","D"
"1010","4391010","144","22","D"
"1011","4391011","331","35","D"
"1012","4391012","805","499","D"
"1013","4391013","1066","161","D"
"1014","4391014","167","154","D"
"1015","4391015","367","196","D"
"1019","4391019","240","60","D"
"1025","4391025","717","344","D"
"1056","4391056","192","38","D"
"1059","4391059","212","19","D"
"1061","4391061","117","15","D"
"1062","4391062","10","8","D"
"1066","4391066","302","133","D"
"1071","4391071","754","399","D"
"1074","4391074","295","33","D"
"1075","4391075","363","57","D"
"1076","4391076","430","270","D"
"1078","4391078","367","11","D"
"1079","4391079","501","25","D"
"1080","4391080","539","15","D"
"1082","4391082","175","112","D"
"1083","4391083","317","58","D"
"1085","4391085","223","133","D"
"1088","4391088","458","109","D"
"1089","4391089","648","14","D"
"1090","4391090","635","28","D"
"1094","4391094","539","300","D"
"1098","4391098","686","44","D"
"1099","4391099","254","94","D"
"1104","4391104","1250","105","D"
"1106","4391106","1038","15","D"
"1108","4391108","560","537","D"
"1109","4391109","279","111","D"
"1119","4391119","1683","979","D"
"1120","4391120","1262","52","D"
"1126","4391126","782","327","D"
"1127","4391127","761","40","D"
"1132","4391132","776","20","D"
"1133","4391133","568","492","D"
"1146","4391146","907","520","D"
"1149","4391149","1007","231","D"
"1150","4391150","645","226","D"
"1151","4391151","365","288","D"
"1153","4391153","871","60","D"
"1154","4391154","254","38","D"
"1165","4391165","67","50","D"
"1170","4391170","942","510","D"
"1175","4391175","416","337","D"
"1184","4391184","266","215","D"
"1188","4391188","269","8","D"
"1189","4391189","744","703","D"
"1198","4391198","111","84","D"
"1207","4391207","756","659","D"
"1211","4391211","1010","38","D"
"1227","4391227","1684","693","D"
"1236","4391236","199","158","D"
"1237","4391237","234","115","D"
"1238","4391238","958","577","D"
"1241","4391241","82","60","D"
"1251","4391251","1478","356","D"
"1255","4391255","1249","616","D"
"1257","4391257","566","308","D"
"1265","4391265","769","515","D"
"1273","4391273","647","379","D"
"1278","4391278","981","228","D"
"1279","4391279","898","326","D"
"1291","4391291","1098","53","D"
"1292","4391292","671","203","D"
"1293","4391293","585","101","D"
"1295","4391295","314","148","D"
"1297","4391297","1314","43","D"
"1298","4391298","742","653","D"
"1300","4391300","862","428","D"
"1301","4391301","888","118","D"
"1311","4391311","886","230","D"
"1346","4391346","504","18","D"
"1347","4391347","1592","1271","D"
"1377","4391377","1233","1189","D"
"1378","4391378","1437","515","D"
"1380","4391380","515","403","D"
"1382","4391382","1030","334","D"
"1388","4391388","1083","516","D"
"1404","4391404","13","9","D"
"1407","4391407","21","12","D"
"1408","4391408","61","19","D"
"1414","4391414","16","6","D"
"1415","4391415","576","136","D"
"1427","4391427","3","2","D"
"1430","4391430","2","1","D"
"1436","4391436","257","214","D"
"1439","4391439","29","5","D"
"1440","4391440","808","221","D"
"1441","4391441","317","84","D"
"1444","4391444","33","7","D"
"1445","4391445","19","6","D"
"1459","4391459","788","272","D"
"1460","4391460","1085","286","D"
"1463","4391463","623","230","D"
"1473","4391473","36","16","D"
"1476","4391476","49","24","D"
"1477","4391477","466","65","D"
"1479","4391479","61","22","D"
"1481","4391481","170","44","D"
"1482","4391482","265","47","D"
"1489","4391489","662","254","D"
"1490","4391490","225","99","D"
"1501","4391501","170","146","D"
"1518","4391518","331","97","D"
"1544","4391544","2","0","D"
"1550","4391550","22","2","D"
"1559","4391559","82","30","D"
"1576","4391576","90","7","D"
"1577","4391577","454","69","D"
"1578","4391578","559","190","D"
"1589","4391589","54","45","D"
"1597","4391597","209","51","D"
"1603","4391603","943","383","D"
"1608","4391608","338","205","D"
"1611","4391611","8","4","D"
"1617","4391617","13","7","D"
"1619","4391619","23","3","D"
"1621","4391621","36","12","D"
"1622","4391622","19","15","D"
"1631","4391631","84","73","D"
"1633","4391633","17","6","D"
"1639","4391639","1586","386","D"
"1641","4391641","1271","911","D"
"1642","4391642","914","361","D"
"1652","4391652","87","3","D"
"1676","4391676","100","55","D"
"1677","4391677","12","3","D"
"1678","4391678","4","2","D"
"1684","4391684","164","118","D"
"2027","4392027","430","229","D"
"2030","4392030","1358","476","D"
"2031","4392031","2371","930","D"
"2052","4392052","709","498","D"
"2100","4392100","157","147","D"
"2134","4392134","338","98","D"
"2143","4392143","228","198","D"
"2145","4392145","569","278","D"
"2148","4392148","825","335","D"
"2161","4392161","506","295","D"
"2168","4392168","687","586","D"
"2169","4392169","405","172","D"
"2180","4392180","656","159","D"
"2190","4392190","96","93","D"
"2210","4392210","212","142","D"
"2217","4392217","926","604","D"
"2224","4392224","687","401","D"
"2225","4392225","582","131","D"
"2226","4392226","605","297","D"
"2235","4392235","901","520","D"
"2263","4392263","609","371","D"
"2267","4392267","734","368","D"
"2268","4392268","388","279","D"
"2269","4392269","136","106","D"
"2275","4392275","294","208","D"
"2299","4392299","673","269","D"
"2302","4392302","713","163","D"
"2309","4392309","417","265","D"
"2315","4392315","677","343","D"
"2316","4392316","575","504","D"
"2320","4392320","709","293","D"
"2341","4392341","157","59","D"
"2349","4392349","669","376","D"
"2353","4392353","436","267","D"
"2354","4392354","799","492","D"
"2379","4392379","1423","586","D"
"2381","4392381","245","74","D"
"2383","4392383","797","485","D"
"2393","4392393","124","82","D"
"2403","4392403","19","3","D"
"2405","4392405","1701","702","D"
"2411","4392411","185","44","D"
"2413","4392413","290","77","D"
"2425","4392425","901","897","D"
"2428","4392428","169","72","D"
"2438","4392438","992","460","D"
"2448","4392448","1138","544","D"
"2449","4392449","805","395","D"
"2450","4392450","931","432","D"
"2451","4392451","70","19","D"
"2453","4392453","723","412","D"
"2461","4392461","847","232","D"
"2462","4392462","636","343","D"
"2466","4392466","437","224","D"
"2467","4392467","891","518","D"
"2484","4392484","1504","596","D"
"2488","4392488","909","437","D"
"2519","4392519","420","239","D"
"2523","4392523","625","297","D"
"2525","4392525","1254","478","D"
"2536","4392536","602","561","D"
"2537","4392537","557","228","D"
"2541","4392541","877","435","D"
"2546","4392546","9","5","D"
"2553","4392553","493","303","D"
"2557","4392557","474","220","D"
"2569","4392569","34","3","D"
"2581","4392581","808","560","D"
"2606","4392606","9","1","D"
"2613","4392613","264","87","D"
"2614","4392614","89","84","D"
"2616","4392616","23","13","D"
"2618","4392618","18","5","D"
"2635","4392635","1561","736","D"
"2643","4392643","2287","2010","D"
"2644","4392644","2136","1259","D"
"2655","4392655","360","238","D"
"2656","4392656","32","8","D"
"2657","4392657","5","4","D"
"2658","4392658","165","71","D"
"2670","4392670","48","31","D"
"3329","4393329","706","702","D"
"3336","4393336","857","730","D"
"3391","4393391","811","737","D"
"3447","4393447","1","0","D"
"3511","4393511","876","775","D"
"3669","4393669","2","1","D"
"4006","4394006","198","53","D"
"4017","4394017","956","219","D"
"4048","4394048","265","59","D"
"4050","4394050","463","70","D"
"4060","4394060","791","285","D"
"4067","4394067","478","116","D"
"4068","4394068","427","109","D"
"4077","4394077","111","80","D"
"4087","4394087","226","38","D"
"4092","4394092","321","68","D"
"4093","4394093","635","175","D"
"4096","4394096","459","179","D"
"4097","4394097","402","140","D"
"4101","4394101","321","235","D"
"4107","4394107","320","66","D"
"4110","4394110","393","78","D"
"4118","4394118","399","364","D"
"4122","4394122","520","129","D"
"4123","4394123","526","143","D"
"4155","4394155","716","310","D"
"4162","4394162","133","126","D"
"4179","4394179","358","293","D"
"4195","4394195","438","96","D"
"4201","4394201","438","80","D"
"4203","4394203","572","390","D"
"4231","4394231","521","116","D"
"4233","4394233","451","117","D"
"4245","4394245","49","12","D"
"4253","4394253","144","139","D"
"4256","4394256","234","76","D"
"4288","4394288","75","15","D"
"4312","4394312","20","8","D"
"4350","4394350","483","394","D"
"4432","4394432","14","2","D"
"4475","4394475","22","6","D"
"4492","4394492","249","203","D"
"4495","4394495","53","24","D"
"4496","4394496","263","131","D"
"4497","4394497","765","447","D"
"4503","4394503","283","166","D"
"4568","4394568","11","10","D"
"4572","4394572","17","2","D"
"4587","4394587","101","2","D"
"4596","4394596","35","15","D"
